M,one ,two,three,four,five,six,seven,eight,nine,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
1917.6,47.31,1605.59,5.4,0.12,0.47,135.97,8.01,0.47,16.03,23.2,323.33,323.33,1265,226,452,1960,975,647.42,36.95
1944.8,47.31,1605.59,5.4,0.12,0.47,135.97,8.01,0.47,16.03,23.2,323.33,323.33,1265,226,452,1960,975,647.42,36.95
1670.18,47.31,1605.59,5.4,0.12,0.47,135.97,8.01,0.47,16.03,23.2,323.33,323.33,1265,226,452,1960,975,647.42,36.95
1822.4,44.14,1605.59,5.04,0.12,0.48,158.79,8.73,0.48,17.46,20.6,301.67,301.67,1265,226,452,1960,940,647.41,36.95
750,647.46,0,7.45,28.36,0.02,0,0,1.67,0,26.05,314.17,240,0,3927,151,0,1030,524.8,205.65
745,647.46,0,7.45,28.36,0.02,0,0,1.67,0,26.05,314.17,240,0,3927,151,0,1030,524.8,205.65
763,647.46,0,7.45,28.36,0.02,0,0,1.67,0,26.05,314.17,240,0,3927,151,0,1030,524.8,205.65
821,647.46,0,7.45,33.97,0.03,0,0,2,0,26.05,314.17,240,0,3927,151,0,860,524.8,205.65
4945,1150.14,3036.34,66.25,18.5,25.88,128.95,97.69,43.76,115.53,21.2,371.67,343.33,1344.9,2500,3768,4824,2749,821.27,40
1332.8,285.31,741.68,0,5.82,0,39.34,30.27,0,0,21.2,401.67,0,1265,1357,0,1120,1204,523.36,0
2647.75,2349.81,0,22.29,70.01,6.59,0,0,42.97,0,19.14,343.07,333.33,0,5730,1810,0,1500,1195.35,36.95
1578.92,1300.24,0,15.29,84.08,0.98,0,0,18.17,0,23.25,303.33,303.33,0,6276,678,0,927,683,74.33
