M,one ,two,three,four,five,six,seven,eight,nine,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
20.181,17.9,0,1.19,2.01,0.32,0,0,1.61,0,12.11,378.43,338.81,0,226,101,0,150,209.26,34.65
30.75,20.62,0,1.36,2,0.46,0,0,1.91,0,14.26,300,281.67,0,308,157,0,150,223.19,30.8
40,23.8,0,1.11,1.93,0.3,0,0,1.53,0,14.26,295,229.17,0,308,157,0,150,261.9,30.8
59.1552,53.06,0,1.13,7.82,0.39,0,0,3.51,0,16.36,324.92,280,0,603,157,0,150,270.8,25.8
43.716,31.31,0,0.6,3.32,0.1,0,0,1.14,0,19.94,305,240,0,462,101,0,150,222.22,24.65
20.58,14.59,0,0.71,0.83,0.07,0,0,0.5,0,18.9,304.17,204.17,0,226,101,0,150,212.21,34.65
36.1,24.93,0,1.34,1.24,0.41,0,0,1.42,0,16.51,400.17,330,0,226,157,0,200,275.61,25.8
55.575,44.2,0,1.34,4.01,0.41,0,0,2.55,0,16.51,404.75,330,0,402,157,0,200,271.62,25.8
78.85,69.47,0,1.34,9.97,0.41,0,0,4.03,0,16.51,408.67,330,0,628,157,0,200,270.69,25.8
18.5,15.47,0,1.03,1.1,0.19,0,0,0.91,0,15.6,318.08,293.42,0,226,101,0,150,215.24,34.65
40.8,30.34,0,1.03,3.43,0.15,0,0,1.44,0,19.29,304.92,293.42,0,462,101,0,150,215.38,34.65
41.25,38.69,0,1.39,6.76,0.42,0,0,3.38,0,20.2,288.33,288.33,0,628,157,0,120,213.65,30.8
66.9,51.86,0,3.69,3.73,1.34,0,0,4.47,0,18.66,415.08,442.33,0,402,226,0,200,310.8,36.95
31.536,19.39,0,0.8,1.2,0.12,0,0,0.75,0,15.17,313.33,230,0,236,101,0,150,262.22,34.65
43.8,28.06,0,0.79,2.46,0.11,0,0,1.05,0,15.46,315,225,0,339,101,0,150,262.79,34.65
8.814,4.73,0,0.51,0.19,0.05,0,0,0.21,0,21.17,283.99,265.83,0,101,57,0,100,165.03,33.5
7.988,4.73,0,0.51,0.14,0.04,0,0,0.14,0,30.37,283.99,265.83,0,101,57,0,100,165.03,33.5
9.083,7.05,0,1.48,0.34,0.34,0,0,0.67,0,27.1,422.88,422.88,0,101,101,0,100,165.03,34.65
17.5638,8.87,0,0.27,0.61,0.02,0,0,0.21,0,18.95,233.33,162.5,0,226,57,0,120,168.15,29
34.683,31.92,0,1.24,1.83,0.16,0,0,1.09,0,19.88,355.58,355.58,0,339,101,0,200,264.84,34.65
20.58,16.31,0,0.84,1.37,0.14,0,0,0.86,0,14.36,340,240,0,226,101,0,150,212.21,34.65
13.32,16.08,0,1.27,3.09,0.62,0,0,2.76,0,12.36,423.33,423.33,0,226,101,0,120,168.05,29.65
29.7,18.82,0,1.62,1.15,0.3,0,0,1.17,0,22.83,288.33,288.33,0,308,157,0,150,211.9,35.8
49.8,40.03,0,0.43,3.47,0.05,0,0,0.86,0,20.82,318.67,318.67,0,462,57,0,150,271.9,23.5
30.72,20.87,0,0.69,0.6,0.04,0,0,0.3,0,26.24,351.08,195,0,226,101,0,200,263.05,35
65.94,53.13,0,0.69,6.56,0.11,0,0,1.71,0,29.57,317.34,311.79,0,760,101,0,150,220.29,22
96.508,96.98,0,0.68,24.04,0.12,0,0,3.43,0,26.99,317.88,311.79,0,1388,101,0,150,219.79,21.65
37.5,25.94,0,0.48,1.97,0.07,0,0,0.77,0,15.6,311.67,327.5,0,308,57,0,150,270.18,25.5
38.4,25.94,0,0.48,1.97,0.07,0,0,0.77,0,15.6,311.67,327.5,0,308,57,0,150,270.18,25.5
4.167,6.37,0,0.46,0.22,0.07,0,0,0.25,0,15.95,284.96,295.44,0,101,57,0,120,221.49,27.5
4.692,6.37,0,0.46,0.22,0.07,0,0,0.25,0,15.95,284.96,295.44,0,101,57,0,120,221.49,27.5
53.025,47.1,0,2.46,4.57,1.89,0,0,5.88,0,8.86,413.33,362.5,0,308,226,0,200,370,30
90.2125,80.04,0,2.46,13.2,1.89,0,0,10,0,8.86,425,362.5,0,509,226,0,200,370,30
13.024,8.87,0,5.88,1.09,0.64,0,0,1.66,0,16.08,376.67,447.5,0,157,101,0,100,150,130
16.224,12.46,0,5.88,2.14,0.64,0,0,2.33,0,16.08,367.5,447.5,0,226,101,0,100,150,130
50.03625,30.74,0,1.94,2.03,0.43,0,0,1.88,0,22.45,344.75,344.75,0,339,157,0,150,263.05,35.8
28.035,20.33,0,1.11,0.62,0.23,0,0,0.75,0,29.66,472.25,445.42,0,157,101,0,150,274.2,24.65
28.16,24.95,0,1.59,1.72,0.34,0,0,1.54,0,19.14,454.17,454.17,0,226,101,0,160,243.05,34.65
29.04,26.36,0,1.09,1.59,0.16,0,0,1,0,21.06,443.33,312.5,0,226,101,0,150,263.05,34.65
37.125,33.07,0,3.07,3.93,1.11,0,0,4.18,0,20.68,506.67,367.5,0,308,226,0,150,211.9,36.95
28.323,28.95,0,1.89,4.9,1.05,0,0,4.54,0,11.99,391.67,391.67,0,339,157,0,150,218.05,30.8
13.391775,12.39,0,2,0.91,0.91,0,0,1.82,0,31.9,509.17,509.17,0,157,157,0,110,155,25
50.7,48.56,0,9.53,3.13,3.13,0,0,6.26,0,29.96,481.67,481.67,0,402,402,0,200,250.8,49.2
40.8,30.34,0,0.88,3.43,0.15,0,0,1.44,0,19.29,304.92,293.42,0,462,101,0,150,215.38,29.65
16.330875,12.99,0,0.41,1,0.02,0,0,0.29,0,22.16,345.83,416.67,0,236,28.3,0,150,159.2,35
10.5,8.36,0,1.34,0.51,0.21,0,0,0.65,0,23.93,443.67,443.67,0,157,101,0,200,120,30
